created_at,rating,review_text,display_name,product_name
2026-07-18,5,Utrolig god kvalitet og passform. Buksa sitter perfekt og har lommer til alt jeg trenger i fjøset.,Kari N.,Cargobukse i bomull
2026-07-15,5,Endelig arbeidsklær som er laget for damer! Rask levering og fin farge.,Ingrid S.,Lett ull t-skjorte
2026-07-11,4,"Veldig fornøyd med stoffet og sømmene. Kunne ønske meg flere farger, men kvaliteten er topp.",Marte L.,Flor Redesign - Forkle
2026-07-08,5,"Kjøpte en til mora mi også. Slitesterk og behagelig, tåler en trøkk i hagen.",Anne B.,Odla kjeledress i bomull
2026-07-02,5,Beste arbeidsbuksa jeg har hatt. God bevegelsesfrihet og kjempefine detaljer.,Silje H.,Cargobukse i bomull
2026-06-27,5,Rask levering og nydelig plagg. Bruker den både på jobb og hjemme.,Tone R.,Sørvest bomullsjakke
2026-06-20,4,"God passform og fint stoff. Litt lang i beina for meg, men lett å legge opp.",Hilde K.,Lett ull t-skjorte
2026-06-14,5,Fantastisk kundeservice da jeg måtte bytte størrelse. Byttet var gratis og enkelt.,Randi O.,Flor hettejakke
2026-06-08,5,Har anbefalt Flor til alle kollegene mine i barnehagen. Praktisk og pen samtidig.,Eli M.,Flor Redesign - Forkle
2026-06-01,3,"Fint plagg, men fargen var litt annerledes enn på bildet. Grei returordning.",Nina T.,Flor bomullsgenser
2026-05-24,5,"Kvalitet i alle ledd. Dette er klær som varer, verdt hver krone.",Astrid J.,Odla kjeledress i bomull
2026-05-18,5,Herlig å endelig finne arbeidsklær med passform for kvinner. Sitter som støpt.,Berit F.,Skog flanellskjorte
